Sum of Generation (GW),Column Labels,,,,,,,,,,,
,Other,conventional_steam_coal,conventional_steam_coal Total,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle Total,naturalgas_ccavgcf,naturalgas_ccavgcf Total,onshore_wind_turbine,onshore_wind_turbine Total,utilitypv_losangeles,utilitypv_losangeles Total,Grand Total
Row Labels,,conventional_steam_coal,,natural_gas_fired_combined_cycle,,naturalgas_ccavgcf,,onshore_wind_turbine,,utilitypv_losangeles,,
784.00,5.259897,14.21768,14.21768,35.65207021,35.65207021,6.58401852,6.58401852,5.38321815,5.38321815,11.57111612,11.57111612,78.668
785.00,5.16674105,14.21768,14.21768,36.83825222,36.83825222,6.58401852,6.58401852,4.50818598,4.50818598,6.816122228,6.816122228,74.131
786.00,5.0476026,14.21768,14.21768,39.42545563,39.42545563,6.58401852,6.58401852,5.72857457,5.72857457,0.133668675,0.133668675,71.137
787.00,5.03159,14.21768,14.21768,35.93405397,35.93405397,6.58401852,6.58401852,6.12465751,6.12465751,0,0,67.892
788.00,5.03159,14.21768,14.21768,31.89396861,31.89396861,6.58401852,6.58401852,5.44674287,5.44674287,0,0,63.174
789.00,5.03159,14.21768,14.21768,26.73563076,26.73563076,6.58401852,6.58401852,5.54908072,5.54908072,0,0,58.118
790.00,5.03159,14.21768,14.21768,22.31205167,22.31205167,6.58401852,6.58401852,5.58565981,5.58565981,0,0,53.731
791.00,5.03159,14.21768,14.21768,20.02339971,20.02339971,6.58401852,6.58401852,4.45231177,4.45231177,0,0,50.309
792.00,5.03159,14.21768,14.21768,17.99531743,17.99531743,6.58401852,6.58401852,4.07439405,4.07439405,0,0,47.903
793.00,5.03159,14.21768,14.21768,16.04781895,16.04781895,6.58401852,6.58401852,4.23989253,4.23989253,0,0,46.121
794.00,5.03159,14.21768,14.21768,15.54118575,15.54118575,6.58401852,6.58401852,3.63352573,3.63352573,0,0,45.008
795.00,5.03159,14.21768,14.21768,15.78795403,15.78795403,6.58401852,6.58401852,3.26375745,3.26375745,0,0,44.885
796.00,5.03159,14.21768,14.21768,16.63528647,16.63528647,6.58401852,6.58401852,2.91142501,2.91142501,0,0,45.38
797.00,5.03159,14.21768,14.21768,16.98938277,16.98938277,6.58401852,6.58401852,2.96132871,2.96132871,0,0,45.784
798.00,5.15904755,14.21768,14.21768,12.26758422,12.26758422,6.58401852,6.58401852,2.81868866,2.81868866,8.274981046,8.274981046,49.322
799.00,5.283879,14.21768,14.21768,11.70473209,11.70473209,6.58401852,6.58401852,2.88764631,2.88764631,13.44404408,13.44404408,54.122
Grand Total,360.6077382,853.0608,853.0608,1677.828536,1677.828536,395.0411112,395.0411112,229.5000238,229.5000238,306.9516974,306.9516974,3822.989906
